# Time (s),Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
0.01,0.082,282.365,9.11e4,0.007
0.02,0.05,282.365,9.11e4,0.007
0.03,0.018,282.365,9.11e4,0.007
0.04,0.014,282.365,9.11e4,0.007
0.05,0.06,282.365,9.11e4,0.007
0.06,0.139,282.365,9.11e4,0.007
0.07,0.249,282.365,9.11e4,0.007
0.08,0.391,282.365,9.11e4,0.007
0.09,0.566,282.365,9.11e4,0.007
0.1,0.772,282.365,9.11e4,0.007
0.11,1.011,282.365,9.11e4,0.007
0.12,1.281,282.365,9.11e4,0.008
0.13,1.584,282.365,9.11e4,0.008
0.14,1.919,282.365,9.11e4,0.009
0.15,2.286,282.364,9.11e4,0.009
0.16,2.679,282.364,9.11e4,0.01
0.17,3.077,282.364,9.11e4,0.011
0.18,3.475,282.364,9.11e4,0.012
0.19,3.875,282.364,9.11e4,0.013
0.2,4.277,282.363,9.11e4,0.014
0.21,4.679,282.363,9.11e4,0.015
0.22,5.083,282.363,9.11e4,0.016
0.23,5.488,282.362,9.11e4,0.017
0.24,5.895,282.362,9.11e4,0.018
0.25,6.303,282.362,9.11e4,0.02
0.26,6.712,282.361,9.11e4,0.021
0.27,7.122,282.361,9.11e4,0.022
0.28,7.534,282.36,9.11e4,0.023
0.29,7.947,282.36,9.109e4,0.024
0.3,8.361,282.359,9.109e4,0.026
0.31,8.777,282.359,9.109e4,0.027
0.32,9.194,282.358,9.109e4,0.028
0.33,9.612,282.357,9.109e4,0.029
0.34,10.032,282.357,9.109e4,0.03
0.35,10.453,282.356,9.109e4,0.032
0.36,10.875,282.355,9.109e4,0.033
0.37,11.299,282.355,9.109e4,0.034
0.38,11.724,282.354,9.108e4,0.035
0.39,12.15,282.353,9.108e4,0.037
0.4,12.578,282.352,9.108e4,0.038
0.41,13.007,282.352,9.108e4,0.039
0.42,13.437,282.351,9.108e4,0.04
0.43,13.868,282.35,9.108e4,0.042
0.44,14.301,282.349,9.108e4,0.043
0.45,14.735,282.348,9.107e4,0.044
0.46,15.171,282.347,9.107e4,0.045
0.47,15.607,282.346,9.107e4,0.047
0.48,16.045,282.345,9.107e4,0.048
0.49,16.484,282.344,9.107e4,0.049
0.5,16.923,282.343,9.107e4,0.051
0.51,17.364,282.342,9.106e4,0.052
0.52,17.805,282.341,9.106e4,0.053
0.53,18.248,282.339,9.106e4,0.054
0.54,18.691,282.338,9.106e4,0.056
0.55,19.135,282.337,9.106e4,0.057
0.56,19.581,282.336,9.105e4,0.058
0.57,20.027,282.334,9.105e4,0.06
0.58,20.474,282.333,9.105e4,0.061
0.59,20.922,282.332,9.105e4,0.062
0.6,21.371,282.33,9.104e4,0.064
0.61,21.821,282.329,9.104e4,0.065
0.62,22.272,282.328,9.104e4,0.066
0.63,22.724,282.326,9.104e4,0.068
0.64,23.177,282.325,9.103e4,0.069
0.65,23.631,282.323,9.103e4,0.07
0.665,24.313,282.321,9.103e4,0.072
0.688,25.341,282.317,9.102e4,0.075
0.721,26.891,282.311,9.101e4,0.08
0.771,29.207,282.302,9.1e4,0.087
0.821,31.547,282.292,9.098e4,0.094
0.871,33.91,282.282,9.096e4,0.101
0.921,36.296,282.27,9.094e4,0.108
0.971,38.706,282.258,9.092e4,0.115
1.021,41.139,282.245,9.09e4,0.122
1.071,43.594,282.231,9.087e4,0.13
1.121,46.073,282.217,9.085e4,0.137
1.171,48.572,282.201,9.082e4,0.144
1.221,51.093,282.185,9.079e4,0.152
1.271,53.634,282.168,9.077e4,0.159
1.321,56.196,282.15,9.073e4,0.167
1.371,58.779,282.132,9.07e4,0.175
1.421,61.382,282.112,9.067e4,0.182
1.471,64.005,282.092,9.063e4,0.19
1.521,66.648,282.071,9.06e4,0.198
1.571,69.31,282.049,9.056e4,0.206
1.621,71.991,282.026,9.052e4,0.214
1.671,74.691,282.002,9.048e4,0.222
1.721,77.409,281.977,9.044e4,0.23
1.771,80.141,281.951,9.039e4,0.238
1.821,82.882,281.925,9.035e4,0.246
1.871,85.633,281.898,9.03e4,0.255
1.921,88.394,281.869,9.025e4,0.263
1.971,91.165,281.84,9.02e4,0.271
2.021,93.946,281.81,9.015e4,0.279
2.071,96.736,281.779,9.01e4,0.288
2.121,99.533,281.747,9.004e4,0.296
2.171,102.338,281.714,8.999e4,0.304
2.221,105.15,281.681,8.993e4,0.313
2.271,107.968,281.646,8.987e4,0.321
2.321,110.794,281.611,8.981e4,0.33
2.371,113.624,281.574,8.975e4,0.338
2.421,116.458,281.537,8.969e4,0.346
2.471,119.294,281.498,8.963e4,0.355
2.521,122.133,281.459,8.956e4,0.363
2.571,124.975,281.419,8.95e4,0.372
2.621,127.818,281.378,8.943e4,0.38
2.671,130.663,281.336,8.936e4,0.389
2.721,133.506,281.293,8.929e4,0.397
2.771,136.346,281.249,8.922e4,0.406
2.821,139.184,281.205,8.915e4,0.414
2.871,142.019,281.159,8.907e4,0.423
2.921,144.851,281.112,8.899e4,0.431
2.971,147.679,281.065,8.892e4,0.44
3.021,150.498,281.016,8.884e4,0.448
3.071,153.307,280.967,8.876e4,0.457
3.121,156.106,280.917,8.867e4,0.465
3.171,158.894,280.866,8.859e4,0.473
3.221,161.672,280.814,8.851e4,0.482
3.271,164.438,280.761,8.842e4,0.49
3.321,167.181,280.707,8.833e4,0.498
3.371,169.891,280.652,8.824e4,0.506
3.421,172.568,280.597,8.815e4,0.514
3.471,175.213,280.54,8.806e4,0.522
3.521,177.824,280.483,8.796e4,0.53
3.571,180.402,280.425,8.787e4,0.538
3.621,182.944,280.366,8.777e4,0.545
3.671,185.445,280.306,8.767e4,0.553
3.721,187.906,280.245,8.758e4,0.56
3.771,190.325,280.184,8.748e4,0.567
