# Total velocity (m/s),Air temperature (K),Air pressure (Pa),Mach number (​)
0.082,282.365,9.11e4,0.007
0.05,282.365,9.11e4,0.007
0.018,282.365,9.11e4,0.007
0.014,282.365,9.11e4,0.007
0.06,282.365,9.11e4,0.007
0.139,282.365,9.11e4,0.007
0.249,282.365,9.11e4,0.007
0.391,282.365,9.11e4,0.007
0.566,282.365,9.11e4,0.007
0.772,282.365,9.11e4,0.007
1.011,282.365,9.11e4,0.007
1.281,282.365,9.11e4,0.008
1.584,282.365,9.11e4,0.008
1.919,282.365,9.11e4,0.009
2.286,282.364,9.11e4,0.009
2.679,282.364,9.11e4,0.01
3.077,282.364,9.11e4,0.011
3.475,282.364,9.11e4,0.012
3.875,282.364,9.11e4,0.013
4.277,282.363,9.11e4,0.014
4.679,282.363,9.11e4,0.015
5.083,282.363,9.11e4,0.016
5.488,282.362,9.11e4,0.017
5.895,282.362,9.11e4,0.018
6.303,282.362,9.11e4,0.02
6.712,282.361,9.11e4,0.021
7.122,282.361,9.11e4,0.022
7.534,282.36,9.11e4,0.023
7.947,282.36,9.109e4,0.024
8.361,282.359,9.109e4,0.026
8.777,282.359,9.109e4,0.027
9.194,282.358,9.109e4,0.028
9.612,282.357,9.109e4,0.029
10.032,282.357,9.109e4,0.03
10.453,282.356,9.109e4,0.032
10.875,282.355,9.109e4,0.033
11.299,282.355,9.109e4,0.034
11.724,282.354,9.108e4,0.035
12.15,282.353,9.108e4,0.037
12.578,282.352,9.108e4,0.038
13.007,282.352,9.108e4,0.039
13.437,282.351,9.108e4,0.04
13.868,282.35,9.108e4,0.042
14.301,282.349,9.108e4,0.043
14.735,282.348,9.107e4,0.044
15.171,282.347,9.107e4,0.045
15.607,282.346,9.107e4,0.047
16.045,282.345,9.107e4,0.048
16.484,282.344,9.107e4,0.049
16.923,282.343,9.107e4,0.051
17.364,282.342,9.106e4,0.052
17.805,282.341,9.106e4,0.053
18.248,282.339,9.106e4,0.054
18.691,282.338,9.106e4,0.056
19.135,282.337,9.106e4,0.057
19.581,282.336,9.105e4,0.058
20.027,282.334,9.105e4,0.06
20.474,282.333,9.105e4,0.061
20.922,282.332,9.105e4,0.062
21.371,282.33,9.104e4,0.064
21.821,282.329,9.104e4,0.065
22.272,282.328,9.104e4,0.066
22.724,282.326,9.104e4,0.068
23.177,282.325,9.103e4,0.069
23.631,282.323,9.103e4,0.07
24.313,282.321,9.103e4,0.072
25.341,282.317,9.102e4,0.075
26.891,282.311,9.101e4,0.08
29.207,282.302,9.1e4,0.087
31.547,282.292,9.098e4,0.094
33.91,282.282,9.096e4,0.101
36.296,282.27,9.094e4,0.108
38.706,282.258,9.092e4,0.115
41.139,282.245,9.09e4,0.122
43.594,282.231,9.087e4,0.13
46.073,282.217,9.085e4,0.137
48.572,282.201,9.082e4,0.144
51.093,282.185,9.079e4,0.152
53.634,282.168,9.077e4,0.159
56.196,282.15,9.073e4,0.167
58.779,282.132,9.07e4,0.175
61.382,282.112,9.067e4,0.182
64.005,282.092,9.063e4,0.19
66.648,282.071,9.06e4,0.198
69.31,282.049,9.056e4,0.206
71.991,282.026,9.052e4,0.214
74.691,282.002,9.048e4,0.222
77.409,281.977,9.044e4,0.23
80.141,281.951,9.039e4,0.238
82.882,281.925,9.035e4,0.246
85.633,281.898,9.03e4,0.255
88.394,281.869,9.025e4,0.263
91.165,281.84,9.02e4,0.271
93.946,281.81,9.015e4,0.279
96.736,281.779,9.01e4,0.288
99.533,281.747,9.004e4,0.296
102.338,281.714,8.999e4,0.304
105.15,281.681,8.993e4,0.313
107.968,281.646,8.987e4,0.321
110.794,281.611,8.981e4,0.33
113.624,281.574,8.975e4,0.338
